arrival_dist,arrival_mean,prep_dist,rec_dist,prep_units,rec_units,avg_queue,avg_block
exp,25.0,exp,exp,4,4,1.7136182406326286,0.01653029082970707
exp,25.0,exp,exp,4,5,1.6376122571851355,0.003543327864474628
exp,25.0,exp,exp,5,4,1.010563529652517,0.015675481000575944
exp,25.0,exp,exp,5,5,0.9385541528117602,0.0040268627354317545
exp,25.0,exp,unif,4,4,1.7131513462425392,0.01587832148615806
exp,25.0,exp,unif,4,5,1.6265665991937845,0.0026604215788252504
exp,25.0,exp,unif,5,4,1.017265334071325,0.018204685038026417
exp,25.0,exp,unif,5,5,0.9292373053361843,0.003267259610076141
exp,25.0,unif,exp,4,4,1.653432987636551,0.014363059297512446
exp,25.0,unif,exp,4,5,1.5880552289635486,0.0006856250727555562
exp,25.0,unif,exp,5,4,1.0497860206911038,0.02088811958562205
exp,25.0,unif,exp,5,5,1.0018221712969255,0.004557029331377484
exp,25.0,unif,unif,4,4,1.5923303974746528,0.012672841508098678
exp,25.0,unif,unif,4,5,1.5809037246022535,0.0003474117123119697
exp,25.0,unif,unif,5,4,1.0210501781914234,0.01793275313862932
exp,25.0,unif,unif,5,5,1.0023673231749035,0.004098004395765048
exp,22.5,exp,exp,4,4,3.1235119566740916,0.019380398414464785
exp,22.5,exp,exp,4,5,2.90458213754058,0.004646392341600457
exp,22.5,exp,exp,5,4,1.9965354840578364,0.020678544294634227
exp,22.5,exp,exp,5,5,1.8537989663406922,0.005024625843633663
exp,22.5,exp,unif,4,4,3.0054642203421214,0.017705170072075074
exp,22.5,exp,unif,4,5,2.878780258967997,0.0034591822590645275
exp,22.5,exp,unif,5,4,1.9148739903181697,0.01692810778215812
exp,22.5,exp,unif,5,5,1.839106056078097,0.004328053162025958
exp,22.5,unif,exp,4,4,2.905546376259363,0.018307386652354832
exp,22.5,unif,exp,4,5,2.6551971931118135,0.00226242509880187
exp,22.5,unif,exp,5,4,1.918429110911348,0.02551867388068669
exp,22.5,unif,exp,5,5,1.819244113848778,0.0051045456877587886
exp,22.5,unif,unif,4,4,2.678746729653989,0.013847577625214052
exp,22.5,unif,unif,4,5,2.6473048003702906,0.0003062790609000501
exp,22.5,unif,unif,5,4,1.9193690078615946,0.02267683975729639
exp,22.5,unif,unif,5,5,1.8178670139120174,0.004140542278199138
unif,25.0,exp,exp,4,4,0.35765264788560985,0.012252903248106694
unif,25.0,exp,exp,4,5,0.33875100123062124,0.001833757569036726
unif,25.0,exp,exp,5,4,0.10606577080671262,0.012741734163364883
unif,25.0,exp,exp,5,5,0.09763144548751337,0.0019534597834137118
unif,25.0,exp,unif,4,4,0.33984153614277823,0.01062252775307418
unif,25.0,exp,unif,4,5,0.33875100123062124,0.0008783681616606201
unif,25.0,exp,unif,5,4,0.09845890994387829,0.01533490057107382
unif,25.0,exp,unif,5,5,0.09763144548751337,0.0014668144955695878
unif,25.0,unif,exp,4,4,0.1770421796391153,0.00781614869517134
unif,25.0,unif,exp,4,5,0.16707211202896718,0.000521211369940255
unif,25.0,unif,exp,5,4,0.05128450205557264,0.010949971724572013
unif,25.0,unif,exp,5,5,0.04571260559363094,0.0022630778435445225
unif,25.0,unif,unif,4,4,0.16029722647116434,0.007634725378648258
unif,25.0,unif,unif,4,5,0.16029722647116434,0.0002849170487831543
unif,25.0,unif,unif,5,4,0.0424371638631293,0.01142578345717119
unif,25.0,unif,unif,5,5,0.041827639226294615,0.0024137557453713866
unif,22.5,exp,exp,4,4,0.9452920968038033,0.02183511775461103
unif,22.5,exp,exp,4,5,0.8937125316313118,0.0019619609403981712
unif,22.5,exp,exp,5,4,0.4743623581769098,0.026272014386270807
unif,22.5,exp,exp,5,5,0.4337056962102173,0.0029563528610000844
unif,22.5,exp,unif,4,4,0.9290784643001664,0.019917422705278794
unif,22.5,exp,unif,4,5,0.8939117650543538,0.003118491821800953
unif,22.5,exp,unif,5,4,0.47699121136794453,0.026619701497640175
unif,22.5,exp,unif,5,5,0.4340983032766597,0.003723883534717996
unif,22.5,unif,exp,4,4,0.7598526448224499,0.011387275859906345
unif,22.5,unif,exp,4,5,0.7095640487317342,0.000884613568102452
unif,22.5,unif,exp,5,4,0.29243190826027676,0.015336030726366355
unif,22.5,unif,exp,5,5,0.24749616901306593,0.0014661812279821106
unif,22.5,unif,unif,4,4,0.7178981946422329,0.0112839858229564
unif,22.5,unif,unif,4,5,0.7153272265616627,0.00016777025800713546
unif,22.5,unif,unif,5,4,0.2753354765110156,0.018929735088547863
unif,22.5,unif,unif,5,5,0.23456367750491178,0.00476980652170212
